global,major,smc,commercial,it_spend,employee_count,pc_count,size,tech_support,discount,revenue,tech_discount
1,0,0,1,46944,60,72,177787,0,1,22913.24,0
0,0,0,0,24935,80,103,81077,0,1,10502.38,0
0,0,1,1,13657,21,16,44931,1,0,9730.12,0
1,0,1,1,2161,30,37,13652,1,0,12702.7,0
1,0,0,0,12526,89,112,72595,0,1,15586.68,0
1,0,1,0,68732,237,183,224090,1,1,42906.05,1
0,1,0,1,23802,89,70,126710,1,0,14178.62,0
0,0,1,0,117322,41,38,315544,1,1,38604.23,1
0,1,0,1,10745,37,35,28092,1,0,10258.59,0
1,0,1,1,4068,18,13,38388,1,0,13535.51,0
0,0,1,1,3937,61,71,33293,1,0,9309.37,0
0,0,1,1,27937,77,56,155237,0,1,15265.73,0
0,0,1,1,118244,70,71,315199,1,0,24561.74,0
0,0,1,0,22615,14,16,212549,1,0,16571.64,0
0,0,0,1,21515,48,53,75989,0,1,10118.85,0
0,0,0,1,5980,15,14,19643,0,1,2838.33,0
0,0,1,1,3639,56,52,14509,0,0,4098.49,0
0,1,0,0,88237,118,150,229779,1,0,25590.54,0
0,0,1,0,17314,19,18,106862,1,1,18383.29,1
0,1,0,1,8387,175,197,45477,1,0,20337.34,0
0,0,0,1,27267,96,76,104636,0,0,6272.61,0
0,0,1,0,20605,33,33,72497,0,1,5924.77,0
0,0,1,1,12890,29,35,101666,0,0,6657.53,0
0,0,1,1,57910,20,24,268205,1,0,21539.93,0
0,0,0,0,5402,125,149,25775,0,0,7405.37,0
0,0,1,1,69176,48,61,199564,1,1,29080.78,1
0,0,1,1,26470,36,32,94398,1,1,18038.44,1
1,0,1,1,10428,18,17,34956,1,1,12826.48,1
0,0,0,0,8917,21,24,24997,0,0,740.2,0
0,0,1,1,91861,38,23,232176,1,1,30069.56,1
1,0,1,1,5560,14,17,47658,1,1,14984.83,1
0,0,1,1,20889,36,22,64873,0,1,9138.85,0
0,0,0,1,62209,79,97,180677,0,1,21423.37,0
0,0,0,1,40967,64,74,232979,1,1,33710.5,1
0,0,1,1,17317,94,88,77496,0,0,5267.23,0
0,0,0,0,32250,21,22,188642,1,1,25062.02,1
0,1,0,1,5259,27,28,26085,1,0,9904.94,0
1,0,1,1,17184,95,65,120086,1,1,24304.85,1
0,0,1,1,21320,63,57,82308,0,0,6406.76,0
0,0,0,1,2905,41,47,26025,0,1,5116.35,0
0,0,1,1,26657,64,58,161527,0,0,9800.74,0
0,1,0,1,4178,135,107,19275,0,1,9646.98,0
0,0,1,0,1854,33,23,14154,0,0,2925.01,0
0,0,0,1,4586,38,45,21698,1,1,8043.89,1
0,0,1,1,33402,17,13,89124,0,1,10193.08,0
0,0,0,1,15479,90,84,56697,1,0,14903.84,0
0,0,0,0,17982,73,51,52065,1,0,9625.04,0
0,1,0,0,49673,23,28,239833,1,0,19319.62,0
0,0,1,1,18700,30,34,78490,0,1,8096.44,0
0,0,0,1,21059,42,52,115642,1,1,20582.73,1
0,0,0,0,19225,79,75,71811,1,0,11738.92,0
0,0,1,1,76818,13,14,246340,1,0,18364.89,0
0,1,0,1,12616,80,62,57031,0,0,8819.66,0
0,1,0,0,35916,17,21,132169,1,1,22732.22,1
0,0,1,1,33999,95,99,245949,1,1,35096.33,1
0,0,1,0,38213,42,29,338043,0,1,27467.93,0
0,0,1,1,35147,19,18,106306,0,1,10597.61,0
0,0,1,1,6744,12,9,26371,0,1,3115.43,0
0,0,1,1,16928,10,10,85080,1,1,15044.4,1
0,0,1,1,62920,27,30,216075,1,1,29230.16,1
0,0,0,0,4594,76,79,25081,0,1,6347.18,0
0,0,1,1,29370,23,27,143831,1,0,14397.4,0
0,0,1,0,21590,34,21,77756,0,1,6808.5,0
0,0,1,1,18171,33,34,128257,1,1,21128.28,1
0,0,1,1,11026,142,165,54051,0,1,12749.13,0
0,1,0,1,27952,13,16,107788,1,0,14240.71,0
1,1,0,1,21526,11,12,58430,0,1,13134.85,0
0,0,1,1,15825,11,13,59235,0,1,7629.09,0
0,1,0,0,24708,68,64,179604,0,0,9458.42,0
0,0,1,0,6608,35,34,28620,1,0,7657.14,0
0,1,0,1,36287,16,19,112196,1,1,19856.81,1
0,0,0,1,33094,66,55,100932,0,0,5185.26,0
1,0,1,1,4383,83,96,30708,1,1,17481.05,1
0,0,0,1,3176,38,22,13208,1,1,7630.79,1
1,0,1,1,7792,48,49,65744,1,1,21119.49,1
0,0,1,0,5292,15,13,21678,0,0,1678.45,0
0,0,0,1,9937,56,50,55617,0,1,6276.1,0
0,1,0,0,24133,40,50,93204,0,0,6579.42,0
0,1,0,1,26263,20,25,70868,1,1,15935.48,1
1,0,1,0,38842,16,12,126003,1,1,23246.0,1
1,0,0,1,5995,46,57,41312,0,1,11022.39,0
0,0,1,1,20999,84,64,65775,0,1,8633.42,0
0,0,1,0,7930,47,37,41473,1,0,8780.12,0
0,0,1,0,32635,19,20,107181,0,1,11260.84,0
0,1,0,1,24506,14,9,82940,0,0,6434.64,0
0,0,0,1,23291,27,19,84287,1,0,10648.05,0
0,0,1,1,8595,126,113,23124,0,1,8794.35,0
0,0,1,1,11123,51,32,41222,1,1,12292.46,1
0,0,0,1,21949,56,62,59551,1,0,11770.65,0
0,0,1,1,65556,143,119,181708,1,0,20077.42,0
0,0,0,1,3153,34,36,21218,0,0,1691.74,0
0,0,1,0,40992,43,29,120675,0,0,5962.41,0
0,0,1,1,14999,38,41,117742,0,1,14147.67,0
0,0,1,1,7797,31,26,20878,0,0,1364.94,0
0,0,0,0,4365,170,203,22037,1,0,16981.37,0
0,0,0,1,3718,24,20,21031,1,0,6464.92,0
1,0,1,0,47892,41,45,208753,0,1,22672.57,0
1,0,1,1,41496,19,16,188159,1,1,32056.56,1
0,0,1,1,11782,42,40,36314,0,1,5456.6,0
0,0,1,1,15526,73,67,46628,0,0,4740.71,0
0,0,1,1,9601,10,12,27481,0,1,2577.5,0
0,0,1,1,22798,41,25,66720,1,1,13955.58,1
0,0,1,1,5365,22,27,26066,0,1,4995.81,0
0,1,0,1,3045,131,101,21883,0,0,8470.1,0
1,0,0,1,142325,47,49,396317,1,1,51419.72,1
1,1,0,1,9976,18,20,51091,0,1,11592.21,0
0,0,1,0,15861,17,21,104855,0,0,4686.02,0
0,0,1,0,18104,36,27,164427,1,0,15162.9,0
0,0,0,1,106731,103,84,387171,1,0,28861.64,0
0,0,1,0,17323,52,46,65568,0,1,7747.68,0
1,0,0,1,15095,105,124,54340,0,1,15752.3,0
0,0,1,0,19925,19,15,156070,0,0,4339.94,0
0,1,0,1,28974,92,72,110336,1,0,17146.51,0
0,1,0,1,6453,156,187,17014,1,0,15899.74,0
0,0,0,0,1647,29,34,14242,0,1,2675.46,0
0,0,1,1,29419,19,13,146931,0,0,6868.15,0
0,1,0,1,5531,38,40,14398,0,1,7639.26,0
0,0,1,1,55573,31,29,165848,1,1,26572.05,1
0,0,1,1,6886,129,106,17220,0,1,6543.55,0
0,0,0,1,21029,128,93,91299,0,1,12639.67,0
0,1,0,1,2810,535,407,15503,0,0,21445.06,0
0,0,1,1,10824,25,23,42483,0,0,2736.14,0
0,0,1,1,89014,109,140,269738,0,1,29168.27,0
1,0,0,1,132855,77,59,335574,1,0,28664.12,0
0,0,1,0,6807,32,27,25433,1,1,9820.3,1
0,1,0,1,23915,38,30,158725,1,1,23856.34,1
0,1,0,1,13930,131,112,65562,1,0,16242.0,0
0,0,1,1,107773,40,42,346802,1,0,25373.13,0
0,0,0,1,36663,32,33,112622,1,1,17939.22,1
0,1,0,1,8902,104,130,43286,1,1,18184.1,1
0,0,1,0,97203,39,42,288126,1,1,36123.32,1
0,0,1,1,55789,95,60,362323,1,1,43607.02,1
1,0,0,1,6370,68,63,51541,1,0,14975.5,0
0,1,0,1,34325,69,69,116687,1,0,18127.12,0
1,1,0,0,5632,34,40,30658,1,0,13068.92,0
1,0,1,1,47377,34,42,129626,1,0,18042.89,0
0,0,0,1,21329,12,12,54067,0,1,4810.11,0
0,0,0,1,43377,106,67,166282,1,0,16043.18,0
0,0,1,0,6150,75,54,47342,0,0,4809.24,0
1,0,1,0,6274,25,31,48622,0,1,9585.26,0
0,1,0,1,12858,18,11,119528,1,1,20842.75,1
0,0,0,1,27159,17,15,134303,0,0,4998.69,0
0,0,0,1,61431,16,14,241590,1,1,30281.73,1
1,0,0,1,12073,32,40,67400,0,0,9195.51,0
0,0,1,0,21109,25,26,147722,0,1,12990.03,0
0,0,1,1,5826,231,270,22805,1,1,18310.05,1
0,0,0,1,4372,43,46,23236,1,0,8068.48,0
0,0,1,0,4162,62,66,25960,0,0,2139.82,0
0,0,0,0,16024,13,8,52378,1,1,10904.29,1
0,1,0,0,4397,55,36,34740,0,1,5827.64,0
0,1,0,1,55877,40,35,246428,1,0,20483.01,0
0,1,0,0,74493,27,21,299245,1,1,37353.17,1
0,0,1,1,20592,20,15,144860,1,0,13779.91,0
0,0,1,1,17654,37,27,161052,0,1,14308.17,0
0,1,0,1,18912,49,53,89464,1,0,15859.34,0
0,0,1,0,28673,113,82,242562,1,1,32562.25,1
0,1,0,0,51176,62,52,140044,1,0,16471.73,0
1,1,0,1,59946,74,74,244004,1,1,40497.96,1
0,0,1,1,13579,180,211,38702,1,0,16523.06,0
1,0,1,1,28764,71,66,88237,0,0,10473.38,0
0,0,1,1,7113,51,45,24939,0,1,5621.5,0
0,0,0,0,44746,82,86,143547,0,1,16116.65,0
1,0,1,1,13932,20,17,80535,1,1,18253.1,1
0,1,0,1,13314,79,82,82226,0,1,12864.59,0
0,0,1,1,2698,10,11,22466,1,0,9765.04,0
0,0,1,1,6696,18,15,16756,0,0,1610.2,0
0,0,1,1,18693,77,91,85722,0,0,8291.16,0
0,1,0,0,79104,150,98,277467,1,0,26538.01,0
0,0,1,1,3610,171,207,28817,0,1,12939.37,0
0,0,1,0,56810,78,69,250355,1,0,20643.8,0
0,0,0,1,13651,35,43,92141,0,1,10595.27,0
0,0,0,0,181671,14,13,456529,1,1,51924.84,1
0,0,1,1,67999,16,16,251152,1,1,31213.6,1
0,1,0,0,25672,16,14,93188,1,0,12642.95,0
0,0,1,1,36456,40,48,117070,0,0,6927.24,0
0,0,1,0,14293,26,31,57400,0,1,5814.43,0
0,0,1,1,44035,12,8,180498,0,0,7340.06,0
0,0,1,1,18056,44,36,70973,1,0,12523.3,0
1,0,1,0,7446,57,54,62155,0,0,8267.67,0
0,0,0,1,60483,67,65,311253,1,1,40723.91,1
0,0,1,1,7166,39,47,20130,1,1,9371.62,1
0,0,1,1,41540,35,36,119009,0,1,14220.32,0
0,0,1,1,5214,27,31,20180,0,0,2267.01,0
0,1,0,1,28456,111,77,84648,1,0,14936.9,0
0,0,0,1,63025,244,184,244034,0,1,29132.86,0
0,0,1,1,26422,42,50,78664,0,1,9850.21,0
0,0,1,1,7722,106,69,31439,1,1,13160.68,1
0,0,1,1,6694,47,33,17661,0,1,5902.71,0
0,0,1,0,16144,49,63,130026,1,0,14066.82,0
0,0,1,0,47156,125,108,203387,1,1,30241.19,1
0,0,1,1,8336,25,22,26640,0,0,3632.91,0
0,0,0,1,17564,121,75,136194,0,0,8156.04,0
0,1,0,1,15949,33,23,105290,0,0,7177.15,0
1,0,1,1,10062,35,33,52179,1,0,14583.99,0
0,1,0,1,9108,92,77,34421,0,0,8403.45,0
0,0,1,1,26039,66,71,81208,0,1,11195.85,0
0,0,1,0,9249,43,51,46714,1,0,11168.71,0
1,0,0,1,17134,83,59,80182,1,1,20948.36,1
0,0,1,1,180249,53,45,523072,1,1,59799.17,1
0,0,1,1,34393,11,10,127796,0,0,5156.38,0
0,0,0,1,34886,36,40,267997,0,1,23392.27,0
0,0,0,1,29790,64,76,102901,1,0,14147.3,0
1,0,1,1,10440,10,11,30476,0,0,6164.34,0
0,1,0,0,5732,101,111,19706,0,1,9219.3,0
0,0,0,0,13071,103,113,41131,0,0,5684.75,0
0,0,0,1,10572,16,15,53019,1,0,9111.93,0
0,0,1,0,8155,63,56,35718,1,0,10277.31,0
0,0,0,0,37613,79,65,111708,1,0,13816.51,0
0,0,0,1,21993,144,98,71301,1,1,17817.12,1
1,0,1,1,2708,92,92,12849,1,0,16609.08,0
0,1,0,1,26275,34,30,67361,0,0,5067.94,0
0,1,0,1,1805,40,49,10101,0,0,4233.99,0
1,0,0,0,4465,23,25,39431,1,0,12541.37,0
0,0,1,1,19104,185,148,63023,0,0,8468.37,0
0,0,1,1,15114,14,16,118715,0,1,10159.1,0
0,0,1,1,5579,131,85,40869,1,0,11627.4,0
1,0,0,0,7080,25,32,35339,1,0,12927.24,0
0,0,0,1,24857,45,38,124626,0,0,7304.19,0
0,1,0,1,62020,13,15,186338,1,0,19648.6,0
1,0,1,1,36893,15,16,285473,1,1,41386.4,1
0,0,1,1,39103,82,97,139197,1,1,25824.98,1
0,0,0,1,45474,58,73,150931,1,0,16145.68,0
0,0,1,1,2976,66,80,10166,0,1,5360.75,0
0,0,1,0,1556,10,11,11288,0,1,3080.49,0
0,0,0,1,11294,30,33,112288,1,0,11639.04,0
0,0,1,1,88673,59,68,354861,0,1,32723.36,0
0,0,1,0,24787,30,20,116506,0,1,11147.74,0
1,0,0,1,31224,160,200,144355,1,1,32341.84,1
0,0,1,1,70994,84,73,278699,1,1,38448.56,1
0,0,1,1,17925,11,7,73279,0,1,7830.86,0
0,0,0,1,11086,47,39,39742,1,0,7762.92,0
0,1,0,1,22586,37,47,67962,0,0,6274.78,0
0,0,1,1,9337,49,36,24599,0,1,6195.66,0
0,0,1,1,4106,14,15,13447,0,1,3287.84,0
0,0,0,1,2820,11,13,11436,0,1,3141.44,0
0,1,0,0,3473,28,19,15797,0,0,2367.97,0
0,0,1,1,62198,18,12,162238,0,0,8267.46,0
0,1,0,1,12529,136,129,100303,1,1,23611.32,1
0,0,1,1,17934,213,223,48109,0,0,13133.46,0
1,0,0,0,26517,27,33,68723,0,0,9594.09,0
1,0,1,1,84183,47,55,211681,1,0,21632.59,0
1,0,0,1,6616,23,14,30771,0,0,4529.9,0
0,0,0,0,19834,57,43,71494,1,1,15139.64,1
0,1,0,0,2920,16,13,10914,1,0,7605.43,0
0,1,0,1,71548,95,66,246262,1,1,34952.14,1
0,0,1,1,7136,30,29,29883,0,1,5157.58,0
0,0,0,1,30996,28,25,77894,0,1,9597.46,0
1,0,1,1,4381,16,15,23762,0,1,7237.05,0
0,0,1,0,48086,13,11,134061,1,1,20640.76,1
1,0,1,1,13047,43,44,50236,0,0,9437.61,0
1,0,0,0,20779,30,29,58572,0,0,6832.94,0
0,0,0,1,3701,100,82,14786,0,0,5994.34,0
1,0,1,0,105657,23,16,365657,1,0,27892.8,0
0,0,1,1,51015,186,172,130256,1,1,26391.25,1
0,1,0,0,9247,92,114,75889,0,1,13929.85,0
0,1,0,1,16894,58,46,98446,0,0,7199.23,0
0,0,0,1,77983,106,105,240548,1,1,34452.27,1
0,0,1,1,43922,34,24,317542,1,1,38424.33,1
0,0,0,1,101715,58,52,441327,1,1,52058.56,1
0,1,0,1,65186,66,54,181351,1,0,21550.53,0
0,0,1,1,34484,12,13,133730,1,1,22621.55,1
1,0,1,0,2263,10,6,22627,0,0,5749.22,0
0,0,1,1,36360,81,78,162718,1,0,17983.01,0
0,0,0,1,42258,83,59,226327,1,1,32179.11,1
0,0,1,1,23536,36,28,107698,0,0,4986.29,0
0,0,0,0,4772,93,74,31472,1,1,12786.3,1
0,0,0,1,8391,107,77,21257,1,0,11037.04,0
0,0,1,1,19917,69,48,111687,0,0,5879.65,0
0,0,1,1,53873,39,37,164836,1,0,17266.08,0
0,0,1,0,2276,10,10,11649,1,0,4619.49,0
1,0,1,0,7709,53,61,37189,0,1,9916.96,0
0,0,1,1,2692,14,16,14203,0,1,2161.66,0
0,0,1,1,90742,97,107,579829,1,1,70405.61,1
0,1,0,1,14130,45,51,59812,0,1,10012.0,0
0,1,0,0,119865,52,31,450829,1,1,54908.53,1
1,0,1,1,24101,35,42,77767,0,1,13610.06,0
0,0,1,1,6533,65,56,32288,0,1,5449.41,0
0,0,0,0,103019,32,37,336370,1,1,39979.64,1
0,0,1,1,84538,50,50,261351,0,1,23226.09,0
0,0,0,0,20640,14,10,55757,0,1,4643.14,0
1,0,1,1,11230,14,11,104708,0,0,8611.13,0
0,0,0,0,16160,10,9,89259,0,0,3531.24,0
0,0,0,1,19215,18,13,148376,1,1,21817.55,1
0,0,1,1,4843,25,26,31145,0,1,5595.4,0
0,0,1,1,20410,29,27,133682,1,1,21018.42,1
0,0,1,1,49747,11,10,150840,0,0,7639.38,0
0,0,1,1,14819,15,12,47163,1,0,9710.64,0
0,0,1,1,21792,211,136,131719,0,1,16740.27,0
0,0,0,0,35220,27,21,184873,0,0,6516.06,0
0,0,1,1,6192,41,43,17203,1,1,10457.7,1
0,0,1,0,27843,184,160,77525,0,0,10263.97,0
0,0,0,1,19419,103,100,65629,0,0,8372.93,0
0,1,0,0,4127,10,8,12863,0,1,5745.21,0
0,0,1,1,47825,23,15,174200,1,0,16693.9,0
1,0,1,0,7680,111,89,61748,1,0,16859.57,0
0,0,1,1,95504,82,60,303089,1,1,39591.01,1
0,0,0,0,17615,16,9,102904,1,1,15570.84,1
0,1,0,1,12249,97,107,39792,0,0,10507.14,0
0,1,0,1,14642,57,63,74178,0,0,9045.14,0
1,0,0,1,9785,14,9,26468,0,0,4921.15,0
0,0,0,0,5737,16,14,46649,0,1,3290.44,0
0,0,1,1,23504,67,40,83551,1,0,11067.72,0
0,0,1,1,20753,46,28,53095,0,0,4100.07,0
0,0,1,1,8840,29,36,72334,0,0,4716.35,0
0,0,1,1,39863,58,67,210389,1,1,31346.14,1
0,0,0,0,9049,68,63,35945,0,0,2342.32,0
